,January,February,March,April,May,June,July,August,September,October,November,December
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,6.133333333,186.3548387,288.6,188.3548387,22.67741935,0,0,0,0
7,0,0,66.70967742,362.1333333,576.1612903,601.4,433.3548387,372.5806452,335.1333333,183.3870968,0,0
8,70.25806452,296.3571429,444.5806452,628.1,752.2258065,711.2666667,557.4516129,455.7741935,573.5,653.516129,479.5,182.8709677
9,522.5806452,602.5357143,641.0645161,779.8666667,815.2580645,768.1666667,673.6774194,631.2580645,713.1333333,821.8064516,619.6,410
10,676.8709677,608.8571429,737.5806452,853.3333333,860.5483871,826.1666667,688.6129032,712.3225806,756.4,904.516129,623.4666667,590.0322581
11,797.0645161,805.4642857,812.0322581,867.1333333,876.8064516,849.1,749.1935484,755.6774194,860.8666667,912.7741935,724.9333333,644
12,839.1935484,887.3928571,832.5483871,833.8333333,885.1935484,882.8,796.9354839,761.0322581,829,884.8387097,817,652.9032258
13,805.0322581,901.0714286,892.0322581,870.3,946.9677419,883.3666667,760.7096774,707.7419355,840.3666667,904.1935484,813.6,623.9354839
14,806.7096774,838.9642857,849.4516129,900.4,859.2258065,812.7333333,706.483871,592.5806452,810.1666667,864.6774194,787.6333333,632.3548387
15,777.9032258,882.2142857,796,859.3,823.9677419,821.9,621.1290323,619.4516129,753,813.8064516,677.2333333,589.4516129
16,647.8387097,818.9642857,684.4516129,730.8333333,760.0322581,784.1333333,613.7419355,542.1935484,738.6,750.516129,594.4,454.2903226
17,415.9032258,630.4285714,595.2258065,617.3666667,637.2580645,713.7333333,609.9032258,425.6451613,631.2333333,561.2580645,366.9666667,266.3225806
18,0,154.75,324.6774194,450.9333333,522.7741935,613.0666667,513.0645161,375.6774194,423.7666667,96.74193548,0,0
19,0,0,0,51.63333333,237.5483871,407.9666667,349.9354839,140.4516129,3.733333333,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
